"name";"state";"last_purchase";"total_orders";"total_spent";"crm_status";"avg_order_value"
João ;SP;"2026-09-07";3;2407.57;RECORRENTE;802.52
Maria ;RJ;"2026-09-04";8;5568.12;RECORRENTE;696.02
Lucas ;MG;"2026-09-05";3;1479.70;RECORRENTE;493.23
Fernanda ;PR;"2026-09-06";8;1722.00;RECORRENTE;215.25
Ricardo ;SC;"2026-09-08";8;3597.40;RECORRENTE;449.68
Arnaldo ;SC;"2026-09-08";8;4092.03;RECORRENTE;511.50
Pedro ;SC;"2026-08-27";6;3390.29;RECORRENTE;565.05
Claudio ;BA;"2026-08-30";7;3878.25;RECORRENTE;554.04
Pedro ;SP;"2026-09-03";6;2199.30;RECORRENTE;366.55
Roberto;SP;"2026-07-31";4;2118.51;RECORRENTE;529.63
Monique;SP;"2026-06-17";6;6575.83;CHURN;1095.97
Fabio;PR;"2026-08-28";5;4328.48;RECORRENTE;865.70
Rodrigo;RJ;"2026-02-20";4;3999.33;CHURN;999.83
Flavio;SP;"2026-04-12";3;431.53;CHURN;143.84
Igor;SP;"2026-08-04";2;270.46;RECORRENTE;135.23
Juliana;MG;"2025-11-04";4;1300.00;CHURN;325.00
Rodrigo;SP;"2026-05-16";4;2826.58;CHURN;706.65
Vitor;BA;"2026-07-07";6;3311.59;EM_RISCO;551.93
Rodrigo;PR;"2026-08-10";4;2277.81;RECORRENTE;569.45
Gabriel;BA;"2026-01-20";4;1414.17;CHURN;353.54
Gustavo;RJ;"2026-09-05";7;3289.11;RECORRENTE;469.87
Mariana;RJ;"2026-06-01";5;4298.37;CHURN;859.67
Larissa;RJ;"2026-08-15";7;3518.26;RECORRENTE;502.61
Vanessa;PR;"2026-08-10";3;2810.45;RECORRENTE;936.82
Matheus;RJ;"2026-03-08";3;712.37;CHURN;237.46
Renata;SC;"2026-04-30";3;724.33;CHURN;241.44
Monique;RS;"2026-06-27";3;2229.95;EM_RISCO;743.32
Tatiane;SP;"2026-08-31";5;2161.58;RECORRENTE;432.32
Matheus;SC;"2026-04-27";4;879.90;CHURN;219.98
Larissa;RJ;"2026-07-14";8;6894.71;EM_RISCO;861.84
Renata;PE;"2026-04-13";5;1706.10;CHURN;341.22
Monique;MG;"2026-08-15";6;1941.33;RECORRENTE;323.56
Marcelo;MG;"2026-02-23";4;1869.70;CHURN;467.43
Luana;SP;"2025-09-25";4;2506.60;CHURN;626.65
Bia;PR;"2026-08-08";6;3665.83;RECORRENTE;610.97
Thiago;RS;"2026-07-29";3;701.70;RECORRENTE;233.90
Carla;PR;"2026-08-16";5;1783.78;RECORRENTE;356.76
Flavio;SP;"2026-05-17";6;1725.75;CHURN;287.63
Rodrigo;SC;"2026-08-12";3;1079.90;RECORRENTE;359.97
Leonardo;SP;"2026-06-18";10;4440.82;CHURN;444.08
Mariana;SC;"2026-09-04";4;2427.88;RECORRENTE;606.97
Mariana;RS;"2026-07-23";15;11875.22;RECORRENTE;791.68
Adriano;RJ;"2026-06-21";7;2591.15;CHURN;370.16
Guilherme;PR;"2026-07-25";7;2612.73;RECORRENTE;373.25
Fabio;PR;"2026-09-01";8;4121.28;RECORRENTE;515.16
Fabio;BA;"2026-08-15";8;4737.40;RECORRENTE;592.18
Igor;RS;"2026-08-05";8;1894.86;RECORRENTE;236.86
Rodrigo;GO;"2026-01-08";8;5126.86;CHURN;640.86
Caio;SP;"2025-11-01";3;3685.76;CHURN;1228.59
Amanda;MG;"2026-05-24";7;4167.90;CHURN;595.41
Flavio;SP;"2026-09-04";7;5017.43;RECORRENTE;716.78
Renata;PE;"2026-03-27";4;2003.23;CHURN;500.81
Renan;SP;"2026-05-27";7;1866.21;CHURN;266.60
Flavio;PR;"2026-08-20";6;2791.27;RECORRENTE;465.21
Thiago;RJ;"2026-04-15";3;3713.36;CHURN;1237.79
Eduardo;MG;"2026-08-13";8;6101.33;RECORRENTE;762.67
Andre;PR;"2026-01-14";2;2051.46;CHURN;1025.73
Natalia;GO;"2026-07-06";5;5048.90;EM_RISCO;1009.78
Bruno;GO;"2026-04-07";3;3894.91;CHURN;1298.30
Bia;RJ;"2026-03-30";7;2932.27;CHURN;418.90
